timestamp,sound,light,movement,temperature,humidity,heartrate
2026-01-20T16:19:03.524685+00:00,72,1088,0.11,24.77,60.43,85
2026-01-20T16:19:04.097268+00:00,79,1072,0.08,24.76,60.4,85
2026-01-20T16:19:04.718041+00:00,68,1070,0.09,24.75,60.38,85
2026-01-20T16:19:05.240945+00:00,67,1083,0.12,24.77,60.43,85
2026-01-20T16:19:05.778885+00:00,76,1073,0.11,24.78,60.53,85
2026-01-20T16:19:06.351747+00:00,79,1077,0.06,24.77,60.51,85
2026-01-20T16:19:06.858924+00:00,61,1067,0.07,24.76,60.45,85
2026-01-20T16:19:07.459404+00:00,86,1062,0.06,24.74,60.37,85
2026-01-20T16:19:07.949015+00:00,76,1077,0.07,24.74,60.37,85
2026-01-20T16:19:08.520794+00:00,73,1073,0.07,24.73,60.37,85
2026-01-20T16:19:09.057919+00:00,79,1057,0.09,24.74,60.37,85
2026-01-20T16:19:09.502709+00:00,78,1076,0.11,24.75,60.3,85
2026-01-20T16:19:10.185229+00:00,88,1065,0.06,24.74,60.29,85
2026-01-20T16:19:10.718963+00:00,90,1087,0.09,24.74,60.32,85
2026-01-20T16:19:11.256732+00:00,81,1070,0.06,24.74,60.37,85
2026-01-20T16:19:11.842245+00:00,69,1068,0.08,24.75,60.38,85
2026-01-20T16:19:12.367071+00:00,75,1078,0.17,24.74,60.43,85
2026-01-20T16:19:12.956246+00:00,73,1065,0.13,24.74,60.49,85
2026-01-20T16:19:13.480852+00:00,68,1079,0.11,24.74,60.43,85
2026-01-20T16:19:14.052374+00:00,63,1062,0.04,24.73,60.37,85
2026-01-20T16:19:14.590157+00:00,92,1070,0.06,24.73,60.36,85
2026-01-20T16:19:15.112734+00:00,76,1077,0.06,24.72,60.3,85
2026-01-20T16:19:15.747401+00:00,73,1063,0.06,24.72,60.32,85
2026-01-20T16:19:16.238134+00:00,84,1067,0.06,24.74,60.33,85
2026-01-20T16:19:16.794875+00:00,80,1075,0.07,24.74,60.38,85
2026-01-20T16:19:17.348072+00:00,84,1063,0.07,24.74,60.44,85
2026-01-20T16:19:17.899666+00:00,76,1083,0.1,24.74,60.47,85
2026-01-20T16:19:18.481486+00:00,72,1063,0.08,24.75,60.49,85
2026-01-20T16:19:18.987317+00:00,82,1066,0.12,24.74,60.46,85
2026-01-20T16:19:19.571610+00:00,82,1074,0.21,24.74,60.42,85
2026-01-20T16:19:20.090569+00:00,79,1060,0.14,24.74,60.42,85
2026-01-20T16:19:20.645897+00:00,81,1072,0.06,24.74,60.44,85
2026-01-20T16:19:21.214985+00:00,59,1056,0.1,24.74,60.47,85
2026-01-20T16:19:21.770617+00:00,69,1060,0.07,24.74,60.49,85
2026-01-20T16:19:22.312848+00:00,64,1074,0.06,24.75,60.5,85
2026-01-20T16:19:22.869839+00:00,59,1049,0.07,24.75,60.49,85
2026-01-20T16:19:23.409284+00:00,66,1055,0.07,24.75,60.47,85
2026-01-20T16:19:23.977283+00:00,76,1073,0.06,24.75,60.45,85
2026-01-20T16:19:24.500919+00:00,62,1072,0.01,24.75,60.44,85
2026-01-20T16:19:25.041826+00:00,77,1073,0.02,24.76,60.43,85
2026-01-20T16:19:25.626378+00:00,71,1057,0.06,24.76,60.41,85
2026-01-20T16:19:26.149092+00:00,98,1058,0.11,24.75,60.38,85
2026-01-20T16:19:26.748602+00:00,76,1079,0.08,24.75,60.37,85
2026-01-20T16:19:27.477969+00:00,71,1056,0.13,24.75,60.37,85
2026-01-20T16:19:27.809145+00:00,73,1073,0.11,24.75,60.32,85
2026-01-20T16:19:28.360915+00:00,72,1063,0.1,24.74,60.32,85
2026-01-20T16:19:28.913614+00:00,77,1063,0.11,24.75,60.3,85
2026-01-20T16:19:29.543313+00:00,73,1072,0.06,24.74,60.25,85
2026-01-20T16:19:30.032753+00:00,78,1056,0.07,24.72,60.25,85
2026-01-20T16:19:30.557920+00:00,68,1050,0.07,24.75,60.24,85
2026-01-20T16:19:31.127639+00:00,97,1069,0.06,24.76,60.25,85
2026-01-20T16:19:31.667078+00:00,85,1060,0.07,24.76,60.24,85
2026-01-20T16:19:32.208177+00:00,79,1075,0.12,24.73,60.3,85
2026-01-20T16:19:32.779986+00:00,72,1057,0.1,24.75,60.27,85
2026-01-20T16:19:33.300141+00:00,71,1055,0.09,24.75,60.24,85
2026-01-20T16:19:33.919398+00:00,69,1071,0.06,24.76,60.22,85
2026-01-20T16:19:34.439120+00:00,64,1048,0.12,24.75,60.22,85
2026-01-20T16:19:34.961673+00:00,72,1072,0.11,24.75,60.27,85
2026-01-20T16:19:35.498983+00:00,82,1057,0.08,24.75,60.28,85
2026-01-20T16:19:36.115653+00:00,82,1049,0.09,24.76,60.26,85
2026-01-20T16:19:36.666452+00:00,76,1077,0.1,24.75,60.16,85
2026-01-20T16:19:37.234470+00:00,96,1063,0.14,24.74,60.09,85
2026-01-20T16:19:37.757955+00:00,86,1058,0.17,24.74,60.1,85
2026-01-20T16:19:38.324101+00:00,82,1079,0.06,24.74,60.09,85
2026-01-20T16:19:38.881157+00:00,83,1072,0.03,24.73,60.04,85
2026-01-20T16:19:39.434500+00:00,80,1082,0.07,24.72,60.04,85
2026-01-20T16:19:39.973394+00:00,70,1074,0.1,24.74,60.08,85
2026-01-20T16:19:40.497464+00:00,79,1071,0.1,24.73,60.11,85
2026-01-20T16:19:41.082948+00:00,73,1095,0.12,24.74,60.15,85
